directory,filename,best_deployment,best_throughput,best_drop_rate,better_combination,better_throughput,better_drop_rate,diff
results,performance_20251224_035931_model_schedules_g_m_r_r_s_s_t_x2.json,combination_70,21.84,118.0,combination_67,23.48,319.0,1.6400000000000006
results,performance_20251223_153839_model_schedules_g_m_r_r_s_s_t_test.json,combination_23,22.33,179.0,combination_2,23.97,286.0,1.6400000000000006
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_188,23.27,166.0,1.629999999999999
results,performance_20251224_070856_model_schedules_g_m_x3.json,combination_3,71.47,388.0,combination_4,73.1,469.0,1.6299999999999955
results,performance_20251224_075835_model_schedules_m_r_r_t_y_test.json,combination_10,15.17,516.0,combination_9,16.79,567.0,1.6199999999999992
results,performance_20251224_081936_model_schedules_m_r_r_t_y.json,combination_21,16.81,568.0,combination_26,18.42,770.0,1.610000000000003
results,performance_20251224_070427_model_schedules_g_m_t_x3.json,combination_7,31.19,508.0,combination_5,32.78,651.0,1.5899999999999999
results,performance_20251224_065719_model_schedules_g_m_r_t.json,combination_6,20.44,489.0,combination_1,22.03,644.0,1.5899999999999999
results,performance_20251224_065719_model_schedules_g_m_r_t.json,combination_6,20.44,489.0,combination_8,22.03,562.0,1.5899999999999999
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_65,23.22,296.0,1.5799999999999983
results,performance_20251224_061843_model_schedules_g_m_r_r_t_test.json,combination_15,20.62,368.0,combination_19,22.19,439.0,1.5700000000000003
results,performance_20251224_052259_model_schedules_g_m_r_r_s_t_test.json,combination_40,21.74,283.0,combination_1,23.31,359.0,1.5700000000000003
results,performance_20251224_083336_model_schedules_m_r_r_v_y_x2.json,combination_5,15.25,521.0,combination_20,16.82,870.0,1.5700000000000003
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_6,23.2,247.0,1.5599999999999987
results,performance_20251224_053655_model_schedules_g_m_r_r_s_t_x2.json,combination_9,21.48,255.0,combination_8,23.03,310.0,1.5500000000000007
results,performance_20251224_052259_model_schedules_g_m_r_r_s_t_test.json,combination_40,21.74,283.0,combination_11,23.29,321.0,1.5500000000000007
results,performance_20251223_153839_model_schedules_g_m_r_r_s_s_t_test.json,combination_23,22.33,179.0,combination_35,23.87,320.0,1.5400000000000027
results,performance_20251224_075835_model_schedules_m_r_r_t_y_test.json,combination_10,15.17,516.0,combination_7,16.71,615.0,1.540000000000001
results,performance_20251224_082636_model_schedules_m_r_r_v_y_test.json,combination_1,17.02,478.0,combination_4,18.56,539.0,1.5399999999999991
results,performance_20251224_035931_model_schedules_g_m_r_r_s_s_t_x2.json,combination_70,21.84,118.0,combination_126,23.37,216.0,1.5300000000000011
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_130,23.17,179.0,1.5300000000000011
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_97,23.17,180.0,1.5300000000000011
results,performance_20251223_153839_model_schedules_g_m_r_r_s_s_t_test.json,combination_23,22.33,179.0,combination_114,23.85,220.0,1.5200000000000031
results,performance_20251224_084037_model_schedules_m_r_r_v_y_x3.json,combination_13,15.19,591.0,combination_32,16.69,671.0,1.5000000000000018
results,performance_20251224_055051_model_schedules_g_m_r_r_s_t_x3.json,combination_10,20.86,290.0,combination_9,22.36,546.0,1.5
results,performance_20251224_083336_model_schedules_m_r_r_v_y_x2.json,combination_5,15.25,521.0,combination_13,16.75,637.0,1.5
