cell,repeat,log_or_stream_id,sap,sap_small,sap_medium,sap_large,offline_map,infer_ms_mean,skip_pct,model_sha,run_timestamp,notes
int8_coco_local,0,5,0.4183,0.0086,0.1885,0.6079,0.444,10.3,0.0,f987aca54e64c363,1781335672,
int8_coco_local,0,6,0.0996,0.0094,0.0945,0.3511,0.1496,9.87,0.0,f987aca54e64c363,1781335677,
int8_coco_local,0,7,0.1952,0.0015,0.1436,0.3749,0.2385,9.7,0.0,f987aca54e64c363,1781335682,
int8_coco_local,0,8,0.0757,0.0065,0.0871,0.409,0.0923,10.46,0.0,f987aca54e64c363,1781335693,
int8_coco_local,0,9,0.1478,0.0021,0.1281,0.3178,0.1789,10.37,0.0,f987aca54e64c363,1781335700,
int8_coco_local,0,10,0.1527,0.0177,0.147,0.3322,0.2119,10.08,0.0,f987aca54e64c363,1781335706,
int8_coco_local,0,11,0.2822,0.0055,0.1605,0.6171,0.2948,10.28,0.0,f987aca54e64c363,1781335717,
int8_coco_local,0,12,0.4333,0.0294,0.378,0.8761,0.446,10.15,0.0,f987aca54e64c363,1781335722,
int8_coco_local,0,13,0.1874,0.0037,0.0887,0.4157,0.2206,9.66,0.0,f987aca54e64c363,1781335732,
int8_coco_local,0,14,0.4272,0.0142,0.2259,0.6926,0.4686,9.62,0.0,f987aca54e64c363,1781335742,
int8_coco_local,0,15,0.1104,0.0091,0.1151,0.3971,0.1668,9.67,0.0,f987aca54e64c363,1781335751,
int8_coco_local,0,16,0.3443,0.0062,0.5208,0.6596,0.3752,9.93,0.0,f987aca54e64c363,1781335756,
int8_coco_local,0,17,0.2124,0.0122,0.1904,0.618,0.2378,10.12,0.0,f987aca54e64c363,1781335762,
int8_coco_local,0,18,0.188,0.0087,0.0888,0.7285,0.2042,9.61,0.0,f987aca54e64c363,1781335771,
int8_coco_local,0,19,0.1104,0.0107,0.0988,0.3708,0.1582,9.93,0.0,f987aca54e64c363,1781335777,
int8_coco_local,0,20,0.103,0.009,0.073,0.3027,0.152,10.08,0.0,f987aca54e64c363,1781335782,
int8_coco_local,0,21,0.09,0.0014,0.0342,0.2232,0.2517,10.06,0.0,f987aca54e64c363,1781335788,
int8_coco_local,0,22,0.187,0.0013,0.1714,0.6182,0.1956,10.53,0.0,f987aca54e64c363,1781335794,
int8_coco_local,0,23,0.1492,0.0321,0.1543,0.4801,0.2374,9.79,0.0,f987aca54e64c363,1781335799,
int8_coco_local,1,0,0.0601,0.0125,0.1084,0.4353,0.0743,9.66,0.0,f987aca54e64c363,1781335808,
int8_coco_local,1,1,0.0636,0.0017,0.0673,0.2196,0.0895,9.57,0.0,f987aca54e64c363,1781335818,
int8_coco_local,1,2,0.1117,0.0125,0.1477,0.5707,0.1371,10.28,0.0,f987aca54e64c363,1781335824,
int8_coco_local,1,3,0.1295,0.001,0.1788,0.3503,0.3022,9.98,0.0,f987aca54e64c363,1781335829,
int8_coco_local,1,4,0.2195,0.0,0.0924,0.5414,0.2195,10.09,0.0,f987aca54e64c363,1781335837,
int8_coco_local,1,5,0.4183,0.0086,0.1885,0.6079,0.444,10.16,0.0,f987aca54e64c363,1781335842,
int8_coco_local,1,6,0.0996,0.0094,0.0945,0.3511,0.1496,9.93,0.0,f987aca54e64c363,1781335847,
int8_coco_local,1,7,0.1952,0.0015,0.1436,0.3749,0.2385,9.84,0.0,f987aca54e64c363,1781335852,
int8_coco_local,1,8,0.0757,0.0065,0.0871,0.409,0.0923,10.42,0.0,f987aca54e64c363,1781335862,
int8_coco_local,1,9,0.1478,0.0021,0.1281,0.3178,0.1789,10.36,0.0,f987aca54e64c363,1781335870,
int8_coco_local,1,10,0.1527,0.0177,0.147,0.3322,0.2119,9.92,0.0,f987aca54e64c363,1781335876,
int8_coco_local,1,11,0.2822,0.0055,0.1605,0.6171,0.2948,10.56,0.0,f987aca54e64c363,1781335887,
int8_coco_local,1,12,0.4333,0.0294,0.378,0.8761,0.446,10.12,0.0,f987aca54e64c363,1781335892,
int8_coco_local,1,13,0.1874,0.0037,0.0887,0.4157,0.2206,9.59,0.0,f987aca54e64c363,1781335902,
int8_coco_local,1,14,0.4272,0.0142,0.2259,0.6926,0.4686,9.69,0.0,f987aca54e64c363,1781335912,
int8_coco_local,1,15,0.1104,0.0091,0.1151,0.3971,0.1668,9.5,0.0,f987aca54e64c363,1781335921,
int8_coco_local,1,16,0.3443,0.0062,0.5208,0.6596,0.3752,9.92,0.0,f987aca54e64c363,1781335926,
int8_coco_local,1,17,0.2124,0.0122,0.1904,0.618,0.2378,10.24,0.0,f987aca54e64c363,1781335932,
int8_coco_local,1,18,0.188,0.0087,0.0888,0.7285,0.2042,9.57,0.0,f987aca54e64c363,1781335941,
int8_coco_local,1,19,0.1104,0.0107,0.0988,0.3708,0.1582,10.02,0.0,f987aca54e64c363,1781335946,
int8_coco_local,1,20,0.103,0.009,0.073,0.3027,0.152,9.82,0.0,f987aca54e64c363,1781335952,
int8_coco_local,1,21,0.09,0.0014,0.0342,0.2232,0.2517,9.9,0.0,f987aca54e64c363,1781335957,
int8_coco_local,1,22,0.187,0.0013,0.1714,0.6182,0.1956,10.47,0.0,f987aca54e64c363,1781335963,
int8_coco_local,1,23,0.1492,0.0321,0.1543,0.4801,0.2374,9.87,0.0,f987aca54e64c363,1781335968,
int8_coco_local,2,0,0.0601,0.0125,0.1084,0.4353,0.0743,9.88,0.0,f987aca54e64c363,1781335978,
int8_coco_local,2,1,0.0636,0.0017,0.0673,0.2196,0.0895,9.47,0.0,f987aca54e64c363,1781335987,
int8_coco_local,2,2,0.1117,0.0125,0.1477,0.5707,0.1371,10.47,0.0,f987aca54e64c363,1781335993,
int8_coco_local,2,3,0.1295,0.001,0.1788,0.3503,0.3022,10.04,0.0,f987aca54e64c363,1781335999,
int8_coco_local,2,4,0.2195,0.0,0.0924,0.5414,0.2195,10.08,0.0,f987aca54e64c363,1781336006,
int8_coco_local,2,5,0.4183,0.0086,0.1885,0.6079,0.444,10.2,0.0,f987aca54e64c363,1781336011,
int8_coco_local,2,6,0.0996,0.0094,0.0945,0.3511,0.1496,9.99,0.0,f987aca54e64c363,1781336017,
int8_coco_local,2,7,0.1952,0.0015,0.1436,0.3749,0.2385,9.81,0.0,f987aca54e64c363,1781336022,
int8_coco_local,2,8,0.0757,0.0065,0.0871,0.409,0.0923,10.38,0.0,f987aca54e64c363,1781336032,
int8_coco_local,2,9,0.1478,0.0021,0.1281,0.3178,0.1789,10.24,0.0,f987aca54e64c363,1781336040,
int8_coco_local,2,10,0.1527,0.0177,0.147,0.3322,0.2119,9.99,0.0,f987aca54e64c363,1781336045,
int8_coco_local,2,11,0.2822,0.0055,0.1605,0.6171,0.2948,10.46,0.0,f987aca54e64c363,1781336057,
int8_coco_local,2,12,0.4333,0.0294,0.378,0.8761,0.446,10.16,0.0,f987aca54e64c363,1781336062,
int8_coco_local,2,13,0.1874,0.0037,0.0887,0.4157,0.2206,9.65,0.0,f987aca54e64c363,1781336072,
int8_coco_local,2,14,0.4272,0.0142,0.2259,0.6926,0.4686,9.51,0.0,f987aca54e64c363,1781336081,
int8_coco_local,2,15,0.1104,0.0091,0.1151,0.3971,0.1668,9.54,0.0,f987aca54e64c363,1781336090,
int8_coco_local,2,16,0.3443,0.0062,0.5208,0.6596,0.3752,10.2,0.0,f987aca54e64c363,1781336096,
int8_coco_local,2,17,0.2124,0.0122,0.1904,0.618,0.2378,10.28,0.0,f987aca54e64c363,1781336101,
int8_coco_local,2,18,0.188,0.0087,0.0888,0.7285,0.2042,9.56,0.0,f987aca54e64c363,1781336111,
int8_coco_local,2,19,0.1104,0.0107,0.0988,0.3708,0.1582,9.69,0.0,f987aca54e64c363,1781336116,
int8_coco_local,2,20,0.103,0.009,0.073,0.3027,0.152,10.01,0.0,f987aca54e64c363,1781336122,
int8_coco_local,2,21,0.09,0.0014,0.0342,0.2232,0.2517,10.1,0.0,f987aca54e64c363,1781336127,
int8_coco_local,2,22,0.187,0.0013,0.1714,0.6182,0.1956,10.61,0.0,f987aca54e64c363,1781336133,
int8_coco_local,2,23,0.1492,0.0321,0.1543,0.4801,0.2374,10.26,0.0,f987aca54e64c363,1781336138,
int8_ft_local,0,0,0.0706,0.03,0.1365,0.3924,0.0855,9.8,0.0,ea091a9dc2485a79,1781336149,
int8_ft_local,0,1,0.0796,0.004,0.0843,0.2993,0.0981,9.75,0.0,ea091a9dc2485a79,1781336159,
int8_ft_local,0,2,0.1084,0.0307,0.1448,0.4673,0.1348,10.64,0.0,ea091a9dc2485a79,1781336165,
int8_ft_local,0,3,0.2711,0.0372,0.3301,0.4527,0.4266,10.35,0.0,ea091a9dc2485a79,1781336171,
int8_ft_local,0,4,0.1243,0.0021,0.1412,0.2424,0.1243,10.16,0.0,ea091a9dc2485a79,1781336178,
int8_ft_local,0,5,0.3336,0.0441,0.218,0.4419,0.3551,10.23,0.0,ea091a9dc2485a79,1781336183,
