detector,params_M,phase,rep_idx,sid,device,infer_mode,mxq_path,mxq_sha8,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11l,25.3,a1,0,1,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,471971b3,L0,0.0393,0.092,0.0059,0.0525,0.1012,0.0758,0.0046,0.0724,0.3112,55.3651,55.4776,97.2656,30.0826
yolo11l,25.3,a1,0,2,GPU,,,,L0,0.1481,0.2379,0.0401,0.2309,0.6003,0.1864,0.0443,0.3407,0.851,12.4127,12.4528,0.0,5.8479
yolo11l,25.3,a1,0,2,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,471971b3,L0,0.0892,0.145,0.0184,0.1028,0.3753,0.1076,0.0229,0.1869,0.522,53.2969,53.7763,97.318,15.6559
yolo11l,25.3,a1,0,3,GPU,,,,L0,0.237,0.4849,0.0402,0.3876,0.3869,0.4572,0.0479,0.5265,0.6396,12.2217,12.2557,0.0,5.8288
yolo11l,25.3,a1,0,3,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,471971b3,L0,0.1098,0.2425,0.0028,0.2094,0.1902,0.254,0.0047,0.2743,0.4028,53.0654,53.104,96.2825,15.8855
yolo11l,25.3,a1,0,4,GPU,,,,L0,0.2887,0.3569,0.0,0.1482,0.6764,0.2893,0.0,0.1477,0.6782,12.3385,12.3546,0.0,8.2885
yolo11l,25.3,a1,0,4,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,471971b3,L0,0.2741,0.3361,0.0,0.1523,0.6544,0.177,0.0,0.0983,0.4189,52.4181,52.5421,96.7172,22.3937
yolo11l,25.3,a1,0,5,GPU,,,,L0,0.5172,0.6111,0.037,0.2438,0.6874,0.556,0.0396,0.257,0.7487,12.3148,12.3162,0.0,5.4508
yolo11l,25.3,a1,0,5,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,471971b3,L0,0.4172,0.6102,0.0232,0.1859,0.5483,0.3272,0.0192,0.1407,0.4474,56.3988,57.2881,98.2456,14.7868
yolo11l,25.3,a1,0,6,GPU,,,,L0,0.1318,0.2424,0.0305,0.1198,0.4096,0.2061,0.0373,0.2132,0.6803,12.0205,12.0219,0.0,5.6458
yolo11l,25.3,a1,0,6,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,471971b3,L0,0.0611,0.1468,0.0132,0.0555,0.1741,0.1222,0.0209,0.1198,0.4198,55.3544,55.5646,97.2222,15.6761
