# provenance: {"generated_at": "2026-07-29T18:41:17+09:00", "git_commit": "c37c5bd761fbbe8ea50202b2aca82eb9b17fca1b (pre-commit HEAD)", "alpha": 0.3, "beta": 1.0, "seed": 42, "input_data": ["/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_gpu/performance_gpu_full540.json", "/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_npu/performance_npu_full540.json"], "experiment": "P6 view-level oof"}
platform,combination,model,dev,eff_fps,ratio_raw,target,pred
gpu,combination_420,yolo11s,gpu,89.856,0.4034,0.4034,0.4537
gpu,combination_420,yolo11m,cpu,18.106,0.0707,0.0707,0.0729
gpu,combination_420,yolo11l,gpu,27.936,0.8022,0.8022,0.7984
gpu,combination_420,yolo11x,gpu,14.130,0.8507,0.8507,0.8642
gpu,combination_355,mobilenet_v2,gpu,814.332,0.1005,0.1005,0.1028
gpu,combination_355,resnet50,gpu,157.332,0.4974,0.4974,0.5038
gpu,combination_355,yolo11s,cpu,44.928,0.1082,0.1082,0.1090
gpu,combination_355,yolo11m,gpu,18.106,0.8986,0.8986,0.8980
gpu,combination_355,yolo11l,gpu,13.968,0.9099,0.9099,0.9092
gpu,combination_355,yolo11x,gpu,7.065,0.9540,0.9540,0.9206
gpu,combination_393,mobilenet_v2,cpu,814.332,0.0230,0.0230,0.0252
gpu,combination_393,resnet50,cpu,157.332,0.0219,0.0219,0.0206
gpu,combination_393,yolo11s,cpu,44.928,0.0285,0.0285,0.0260
gpu,combination_393,yolo11m,cpu,18.106,0.0353,0.0353,0.0317
gpu,combination_393,yolo11l,cpu,13.968,0.0272,0.0272,0.0302
gpu,combination_393,yolo11x,gpu,10.598,0.8822,0.8822,0.8539
gpu,combination_396,mobilenet_v2,cpu,814.332,0.0533,0.0533,0.0503
gpu,combination_396,resnet50,cpu,157.332,0.0486,0.0486,0.0469
gpu,combination_396,yolo11s,gpu,67.392,0.5343,0.5343,0.5964
gpu,combination_396,yolo11m,cpu,18.106,0.0762,0.0762,0.0794
gpu,combination_396,yolo11l,gpu,20.952,0.8438,0.8438,0.8383
gpu,combination_396,yolo11x,gpu,10.598,0.8926,0.8926,0.8621
gpu,combination_388,mobilenet_v2,cpu,814.332,0.0269,0.0269,0.0309
gpu,combination_388,resnet50,cpu,157.332,0.0277,0.0277,0.0248
gpu,combination_388,yolo11s,cpu,44.928,0.0343,0.0343,0.0327
gpu,combination_388,yolo11m,gpu,27.159,0.8163,0.8163,0.7818
gpu,combination_388,yolo11l,cpu,13.968,0.0408,0.0408,0.0381
gpu,combination_388,yolo11x,cpu,7.065,0.0439,0.0439,0.0479
gpu,combination_410,mobilenet_v2,gpu,1285.347,0.0685,0.0685,0.0713
gpu,combination_410,resnet50,gpu,314.664,0.2797,0.2797,0.3395
gpu,combination_410,yolo11s,gpu,89.856,0.3654,0.3654,0.4405
gpu,combination_410,yolo11m,gpu,36.212,0.8552,0.8552,0.8623
gpu,combination_410,yolo11l,gpu,27.936,0.8784,0.8784,0.8919
gpu,combination_410,yolo11x,cpu,7.065,0.3439,0.3439,0.4168
gpu,combination_387,mobilenet_v2,cpu,814.332,0.0271,0.0271,0.0253
gpu,combination_387,resnet50,cpu,157.332,0.0243,0.0243,0.0205
gpu,combination_387,yolo11s,cpu,44.928,0.0249,0.0249,0.0258
gpu,combination_387,yolo11m,cpu,18.106,0.0276,0.0276,0.0320
gpu,combination_387,yolo11l,cpu,13.968,0.0344,0.0344,0.0309
gpu,combination_387,yolo11x,cpu,7.065,0.0425,0.0425,0.0468
gpu,combination_362,mobilenet_v2,gpu,814.332,0.1133,0.1133,0.1202
gpu,combination_362,resnet50,gpu,157.332,0.5530,0.5530,0.5668
gpu,combination_362,yolo11s,gpu,44.928,0.8685,0.8685,0.8877
gpu,combination_362,yolo11m,gpu,18.106,0.9168,0.9168,0.9383
gpu,combination_362,yolo11l,gpu,13.968,0.9307,0.9307,0.9456
gpu,combination_362,yolo11x,cpu,7.065,0.4614,0.4614,0.4063
gpu,combination_405,mobilenet_v2,cpu,814.332,0.0247,0.0247,0.0268
gpu,combination_405,resnet50,cpu,157.332,0.0181,0.0181,0.0228
gpu,combination_405,yolo11s,gpu,89.856,0.1989,0.1989,0.2868
