# provenance: {"generated_at": "2026-07-29T18:33:47+09:00", "git_commit": "154f11480b290e3425256b0b0b20b74f093fdacc (pre-commit HEAD)", "alpha": 0.3, "beta": 1.0, "seed": 42, "input_data": ["/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_gpu/performance_gpu_full540.json", "/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_npu/performance_npu_full540.json"], "experiment": "P5 capacity greedy", "static_profile": "/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/performance_data/sample_profiling_data/sample_profiling_data.json"}
platform,set,rate,variant,greedy_accel,collected,matched_combo,top1,s_norm,oracle_norm,ratio_norm,s_raw,oracle_raw,ratio_raw,cum_load
gpu,S1,4.0,speedup,"yolo11s",1,combination_130,0,0.2488,1.0000,0.2488,142.390,259.737,0.5482,0.706
gpu,S1,4.0,load_factor,"yolo11s",1,combination_130,0,0.2488,1.0000,0.2488,142.390,259.737,0.5482,0.706
npu,S8,2.0,speedup,"llama1b,qwen2_vl,yolo11l,yolo11m,yolo11x",0,,,,,,,,,0.922
npu,S8,2.0,load_factor,"qwen2_vl,resnet50,yolo11s",0,,,,,,,,,1.087
npu,S8,1.5,speedup,"llama1b,qwen2_vl,yolo11l,yolo11m,yolo11s,yolo11x",0,,,,,,,,,0.950
npu,S8,1.5,load_factor,"llama1b,qwen2_vl,resnet50,yolo11m,yolo11s",0,,,,,,,,,0.996
npu,S8,1.0,speedup,"llama1b,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",0,,,,,,,,,0.872
npu,S8,1.0,load_factor,"mobilenet_v2,qwen2_vl",0,,,,,,,,,1.031
npu,S10,2.0,speedup,"yolo11l,yolo11m,yolo11s,yolo11x",0,,,,,,,,,0.977
npu,S10,2.0,load_factor,"resnet50,yolo11n",1,combination_538,0,-0.0757,1.0000,-0.0757,97.680,437.062,0.2235,0.974
npu,S10,1.5,speedup,"yolo11l,yolo11m,yolo11s,yolo11x",0,,,,,,,,,0.733
npu,S10,1.5,load_factor,"resnet50,yolo11n,yolo11s",1,combination_503,0,-0.0099,1.0000,-0.0099,127.571,443.801,0.2875,0.988
npu,S10,1.0,speedup,"resnet50,yolo11l,yolo11m,yolo11n,yolo11s,yolo11x",1,combination_482,0,0.6381,1.0000,0.6381,292.547,401.936,0.7278,0.976
npu,S10,1.0,load_factor,"mobilenet_v2,yolo11x",0,,,,,,,,,0.997
npu,base4,2.0,speedup,"llama1b,qwen2_vl,resnet50,yolo11l",1,combination_88,1,1.6910,1.6910,1.0000,101.009,130.249,0.7755,0.982
npu,base4,2.0,load_factor,"llama1b,qwen2_vl,resnet50,yolo11l",1,combination_88,1,1.6910,1.6910,1.0000,101.009,130.249,0.7755,0.982
npu,base5,3.0,speedup,"llama1b,qwen2_vl,yolo11x",1,combination_118,1,1.8228,1.8228,1.0000,107.297,107.297,1.0000,0.733
npu,base5,3.0,load_factor,"qwen2_vl,resnet50",1,combination_115,0,1.0283,1.8228,0.5641,82.773,107.297,0.7714,1.115
npu,base5,2.0,speedup,"llama1b,qwen2_vl,resnet50,yolo11x",1,combination_112,0,1.6772,1.8437,0.9097,89.700,115.812,0.7745,0.966
npu,base5,2.0,load_factor,"llama1b,qwen2_vl,resnet50,yolo11x",1,combination_112,0,1.6772,1.8437,0.9097,89.700,115.812,0.7745,0.966
npu,base1,2.0,speedup,"llama1b,qwen2_vl,resnet50",1,combination_15,0,1.5936,1.7134,0.9301,122.294,151.294,0.8083,0.766
npu,base1,2.0,load_factor,"qwen2_vl,resnet50,yolo11n",1,combination_12,0,1.3630,1.7134,0.7955,151.294,151.294,1.0000,1.241
npu,base5,1.0,speedup,"llama1b,qwen2_vl,resnet50,yolo11x",1,combination_104,0,1.7230,1.8558,0.9285,87.807,111.357,0.7885,0.483
npu,base5,1.0,load_factor,"llama1b,qwen2_vl,resnet50,yolo11x",1,combination_104,0,1.7230,1.8558,0.9285,87.807,111.357,0.7885,0.483
npu,base3,3.0,speedup,"llama1b,qwen2_vl,yolo11m",1,combination_70,1,1.6191,1.6191,1.0000,108.393,126.248,0.8586,0.760
npu,base3,3.0,load_factor,"qwen2_vl,resnet50",1,combination_67,0,0.8825,1.6191,0.5450,84.463,126.248,0.6690,1.115
npu,base2,3.0,speedup,"llama1b,qwen2_vl,yolo11s",1,combination_46,0,1.5939,1.5945,0.9997,109.713,133.555,0.8215,0.949
npu,base2,3.0,load_factor,"qwen2_vl,resnet50",1,combination_43,0,0.8461,1.5945,0.5306,87.363,133.555,0.6541,1.115
npu,base4,3.0,speedup,"llama1b,qwen2_vl,yolo11l",1,combination_94,1,1.6284,1.6284,1.0000,108.022,122.103,0.8847,0.757
npu,base4,3.0,load_factor,"qwen2_vl,resnet50",1,combination_91,0,0.9075,1.6284,0.5573,84.293,122.103,0.6903,1.115
npu,base3,2.0,speedup,"llama1b,qwen2_vl,resnet50,yolo11m",1,combination_64,1,1.7080,1.7080,1.0000,104.610,131.897,0.7931,0.984
npu,base3,2.0,load_factor,"llama1b,qwen2_vl,resnet50,yolo11m",1,combination_64,1,1.7080,1.7080,1.0000,104.610,131.897,0.7931,0.984
npu,base4,1.0,speedup,"llama1b,qwen2_vl,resnet50,yolo11l",1,combination_80,0,1.7602,1.8683,0.9421,95.714,117.280,0.8161,0.491
npu,base4,1.0,load_factor,"llama1b,qwen2_vl,resnet50,yolo11l",1,combination_80,0,1.7602,1.8683,0.9421,95.714,117.280,0.8161,0.491
npu,base1,1.0,speedup,"llama1b,qwen2_vl,resnet50,yolo11n",1,combination_8,1,1.8053,1.8053,1.0000,131.722,147.666,0.8920,0.632
npu,base1,1.0,load_factor,"llama1b,qwen2_vl,resnet50,yolo11n",1,combination_8,1,1.8053,1.8053,1.0000,131.722,147.666,0.8920,0.632
npu,base2,1.0,speedup,"llama1b,qwen2_vl,resnet50,yolo11s",1,combination_32,1,1.7922,1.7922,1.0000,115.919,129.900,0.8924,0.555
npu,base2,1.0,load_factor,"llama1b,qwen2_vl,resnet50,yolo11s",1,combination_32,1,1.7922,1.7922,1.0000,115.919,129.900,0.8924,0.555
npu,base3,1.0,speedup,"llama1b,qwen2_vl,resnet50,yolo11m",1,combination_56,0,1.7810,1.8494,0.9630,99.992,120.041,0.8330,0.492
npu,base3,1.0,load_factor,"llama1b,qwen2_vl,resnet50,yolo11m",1,combination_56,0,1.7810,1.8494,0.9630,99.992,120.041,0.8330,0.492
